[epoch 1] train_loss: 1.319  train_acc: 0.439  val_accuracy: 0.511
[epoch 2] train_loss: 1.094  train_acc: 0.574  val_accuracy: 0.618
[epoch 1] train_loss: 1.315  train_acc: 0.456  val_accuracy: 0.555
[epoch 2] train_loss: 1.147  train_acc: 0.551  val_accuracy: 0.593
[epoch 3] train_loss: 1.051  train_acc: 0.593  val_accuracy: 0.618
[epoch 4] train_loss: 0.975  train_acc: 0.627  val_accuracy: 0.692
[epoch 5] train_loss: 0.915  train_acc: 0.651  val_accuracy: 0.725
[epoch 6] train_loss: 0.890  train_acc: 0.662  val_accuracy: 0.755
[epoch 7] train_loss: 0.842  train_acc: 0.685  val_accuracy: 0.766
[epoch 8] train_loss: 0.808  train_acc: 0.703  val_accuracy: 0.788
[epoch 9] train_loss: 0.776  train_acc: 0.718  val_accuracy: 0.764
[epoch 10] train_loss: 0.721  train_acc: 0.734  val_accuracy: 0.808
[epoch 11] train_loss: 0.718  train_acc: 0.734  val_accuracy: 0.764
[epoch 12] train_loss: 0.652  train_acc: 0.759  val_accuracy: 0.813
[epoch 13] train_loss: 0.643  train_acc: 0.763  val_accuracy: 0.797
[epoch 14] train_loss: 0.577  train_acc: 0.786  val_accuracy: 0.819
[epoch 15] train_loss: 0.567  train_acc: 0.798  val_accuracy: 0.830
[epoch 16] train_loss: 0.537  train_acc: 0.807  val_accuracy: 0.849
[epoch 17] train_loss: 0.512  train_acc: 0.815  val_accuracy: 0.838
[epoch 18] train_loss: 0.489  train_acc: 0.830  val_accuracy: 0.860
[epoch 19] train_loss: 0.489  train_acc: 0.825  val_accuracy: 0.854
[epoch 20] train_loss: 0.490  train_acc: 0.826  val_accuracy: 0.854
[epoch 1] train_loss: 1.309  train_acc: 0.442  val_accuracy: 0.569
[epoch 2] train_loss: 1.130  train_acc: 0.552  val_accuracy: 0.624
[epoch 3] train_loss: 0.990  train_acc: 0.622  val_accuracy: 0.618
[epoch 4] train_loss: 0.934  train_acc: 0.639  val_accuracy: 0.734
[epoch 5] train_loss: 0.875  train_acc: 0.673  val_accuracy: 0.772
[epoch 6] train_loss: 0.826  train_acc: 0.694  val_accuracy: 0.769
[epoch 7] train_loss: 0.807  train_acc: 0.696  val_accuracy: 0.736
[epoch 8] train_loss: 0.765  train_acc: 0.715  val_accuracy: 0.769
[epoch 9] train_loss: 0.750  train_acc: 0.726  val_accuracy: 0.753
[epoch 10] train_loss: 0.724  train_acc: 0.735  val_accuracy: 0.799
[epoch 11] train_loss: 0.656  train_acc: 0.752  val_accuracy: 0.805
[epoch 12] train_loss: 0.610  train_acc: 0.775  val_accuracy: 0.838
[epoch 13] train_loss: 0.595  train_acc: 0.793  val_accuracy: 0.821
[epoch 14] train_loss: 0.531  train_acc: 0.799  val_accuracy: 0.832
[epoch 15] train_loss: 0.532  train_acc: 0.809  val_accuracy: 0.835
[epoch 16] train_loss: 0.507  train_acc: 0.819  val_accuracy: 0.846
[epoch 17] train_loss: 0.470  train_acc: 0.827  val_accuracy: 0.841
[epoch 18] train_loss: 0.471  train_acc: 0.832  val_accuracy: 0.863
[epoch 19] train_loss: 0.443  train_acc: 0.844  val_accuracy: 0.865
[epoch 20] train_loss: 0.439  train_acc: 0.844  val_accuracy: 0.871
[epoch 1] train_loss: 1.298  train_acc: 0.466  val_accuracy: 0.396
[epoch 2] train_loss: 1.161  train_acc: 0.537  val_accuracy: 0.621
[epoch 3] train_loss: 1.009  train_acc: 0.609  val_accuracy: 0.687
[epoch 4] train_loss: 0.930  train_acc: 0.635  val_accuracy: 0.709
[epoch 5] train_loss: 0.869  train_acc: 0.670  val_accuracy: 0.673
[epoch 6] train_loss: 0.817  train_acc: 0.690  val_accuracy: 0.731
[epoch 7] train_loss: 0.759  train_acc: 0.718  val_accuracy: 0.775
[epoch 8] train_loss: 0.774  train_acc: 0.711  val_accuracy: 0.750
[epoch 9] train_loss: 0.689  train_acc: 0.740  val_accuracy: 0.799
[epoch 10] train_loss: 0.665  train_acc: 0.750  val_accuracy: 0.813
[epoch 11] train_loss: 0.633  train_acc: 0.760  val_accuracy: 0.813
[epoch 12] train_loss: 0.619  train_acc: 0.771  val_accuracy: 0.819
[epoch 13] train_loss: 0.586  train_acc: 0.776  val_accuracy: 0.832
[epoch 14] train_loss: 0.548  train_acc: 0.803  val_accuracy: 0.827
[epoch 15] train_loss: 0.526  train_acc: 0.813  val_accuracy: 0.854
[epoch 16] train_loss: 0.494  train_acc: 0.821  val_accuracy: 0.849
[epoch 17] train_loss: 0.463  train_acc: 0.827  val_accuracy: 0.835
